"STATUSES_COUNT","FRIENDS_COUNT","LISTED_COUNT","USER_FAVORITES","DESCRIPTION_LEN","HAS_URL","HAS_LOCATION","REPLIES","MENTIONS","RETWEETS_OF_USER_TWEETS","RETWEETS_BY_USER","FAVORITE_COUNT_FOR_USER","HASHTAGS","BROADCAST_COMMS","QUOTES","URLS","TWEETS_EXAMINED","USER_AGE","FOLLOWERS_COUNT"
1818,255,1,2250,28,0,1,596,635,58,406,1245,38,775,4,40,1785,754.230966948803,177
8177,132,3,6253,99,0,0,115,250,1394,1531,419,1951,1516,219,315,3228,369.961047967322,127
3141,116,4,2868,146,0,1,905,997,21,753,220,32,1313,7,41,3046,1472.22765676362,121
28012,892,2,19444,56,0,1,701,763,674,800,1678,4,1710,71,81,3213,1155.49795768954,1444
7011,1981,21,20,133,0,1,188,153,490,44,1285,30,3043,0,12,3239,1121.16374472658,2163
67657,427,5,5717,11,0,1,736,835,637,321,1436,2,2199,0,27,3209,1652.78653407843,1221
384,1562,1,371,37,0,1,54,60,6,90,22,68,235,0,15,381,714.26487898584,720
35581,129,4,3013,54,0,1,672,745,263,319,462,1,2225,2,2,3216,2090.01464750436,453
2315,232,0,1175,154,0,1,912,961,50,562,1609,28,799,4,14,2294,80.1907817636182,206
2158,969,9,5377,120,1,0,626,1151,713,276,1419,213,926,99,452,2154,2031.80389518954,580
1998,472,7,17213,72,1,1,208,205,265,1048,148,1,117,1,1,1365,513.348652133989,353
1321,262,0,672,34,0,0,221,247,535,381,1411,14,711,321,330,1315,41.7086289858404,309
3976,453,0,2669,8,0,1,825,1076,803,899,3406,334,1251,12,193,3067,2203.01494843028,562
8425,124,2,269,49,1,1,561,599,1645,1928,116,56,687,8,29,3168,1537.43353639325,209
93449,462,20,2323,123,0,1,23,35,96,2315,21,5,769,50,109,3115,1302.91467065251,596
10968,910,2,6607,24,0,0,0,0,0,3120,0,0,0,0,0,3120,1443.51890676362,1140
6521,376,2,47,14,0,1,1042,1925,244,706,117,358,1053,84,178,3215,1615.65930028214,469
3471,247,0,465,23,0,0,105,124,48,2744,61,24,373,59,70,3235,184.092957689544,190
29760,4987,153,686,144,0,0,940,2441,833,1428,424,3486,77,0,861,3207,830.186186856211,1214
34617,17427,58,5583,91,1,0,19,3105,1504,1338,1121,705,44,0,109,2006,1417.54800398584,17496
5512,392,2,1462,13,0,0,2227,2110,197,114,1236,3,934,0,10,3102,1301.25832805991,412
18917,583,1,4434,47,0,1,124,159,304,2459,395,9,574,500,526,3185,1794.44919611547,663
86514,194,30,1749,52,0,1,222,117,165,2151,46,51,894,219,243,3146,1592.9332470414,380
58912,884,7,5685,71,0,1,488,464,816,1460,649,68,1323,689,748,3233,1802.65307343028,1146
55880,973,197,15,116,1,1,894,3065,520,1019,321,885,570,26,1930,3225,2850.88894148584,8653
1102,519,1,321,4,0,0,498,628,84,488,109,19,124,2,25,1098,774.050666022877,234
46559,90,3,1378,78,0,0,228,257,97,2261,33,62,683,3,39,3190,2351.31787667103,288
49410,897,22,12123,159,1,1,459,506,206,1101,942,33,1629,1,66,3197,1935.10383731917,1204
17770,11585,3,341,62,0,1,116,134,3998,2994,1144,23,92,31,33,3202,343.242309541396,27945
10249,351,13,24100,104,1,1,1527,2962,701,176,8272,57,747,97,766,3050,1308.72614055991,10271
1594,529,1,110,25,0,1,727,829,86,267,102,124,521,2,50,1514,1626.27700861547,271
4442,735,1,4075,84,0,0,999,1374,205,1653,1004,254,546,13,79,3135,971.9238257451,165
1555,160,2,662,94,0,0,363,479,399,620,548,90,539,240,258,1542,1138.9335595414,140
10147,62,5,1445,0,0,0,537,816,310,1813,307,69,779,413,618,3182,2150.13571231917,143
2119,204,0,648,112,0,0,48,59,262,320,382,19,1739,7,11,2104,115.674219263618,229
12473,2303,3,17646,133,0,1,21,38,56,2884,48,44,251,12,144,3167,1299.96108268954,1004
1178,223,3,129,139,0,1,114,150,84,133,513,9,914,361,521,1184,276.786221578433,217
15550,274,5,6209,98,0,1,51,91,38,2950,108,7,200,4,7,3229,327.693733152507,659
1878,124,0,2022,18,0,1,225,394,368,517,1130,53,1056,0,11,1883,363.622251671026,134
20725,1443,73,3347,91,1,1,750,672,85,357,1109,46,1685,0,145,2690,1227.93016833769,1220
